Designator,Mid X,Mid Y,Rotation,Layer
C1101,123.164998,-107.944998,180.0,bottom
C1102,123.165,-109.069996,180.0,bottom
C1501,108.0875,-80.23,270.0,bottom
C1601,122.657799,-84.566901,270.0,bottom
C1602,121.057599,-91.399501,0.0,bottom
C1603,114.377399,-84.871701,270.0,bottom
C1604,116.113299,-83.017501,180.0,bottom
C1605,114.402799,-88.326101,90.0,bottom
C201,96.9925,-75.05,0.0,bottom
C203,89.8232,-73.096898,90.0,top
C301,116.4175,-74.91,0.0,top
C302,116.4175,-72.634998,0.0,top
C303,116.4175,-73.772499,0.0,top
C304,109.88,-68.145001,0.0,top
C305,109.88,-69.307499,0.0,top
C306,109.88,-70.47,0.0,top
C401,112.754499,-83.897399,90.0,top
C402,112.754501,-90.2324,270.0,top
C403,117.26,-79.828499,0.0,bottom
C404,120.803532,-88.516001,270.0,bottom
C501,107.854971,-103.15362,270.0,top
C502,106.229374,-103.153618,270.0,top
C503,93.999998,-112.684601,180.0,bottom
C504,88.28,-110.63,45.0,bottom
C505,94.0,-111.6,180.0,bottom
C506,110.112498,-111.161698,270.0,bottom
C508,88.49,-116.5792,0.0,bottom
C509,98.2175,-106.5,0.0,top
C510,94.833688,-106.5,180.0,top
C514,107.675,-129.975,0.0,bottom
C516,90.61,-128.17,45.0,bottom
C517,115.36,-116.330001,180.0,bottom
C519,109.625832,-122.301027,270.0,bottom
C521,88.57,-121.73,45.0,bottom
C522,100.4,-108.7,90.0,bottom
C523,95.917331,-130.243502,0.0,bottom
C701,112.575,-131.45,180.0,bottom
C901,117.725,-129.549998,270.0,top
C902,115.455,-129.549996,270.0,top
C903,116.59,-129.549996,270.0,top
D1101,123.065,-117.601735,0.0,top
D1102,123.065,-113.875204,0.0,top
D1103,123.065,-115.738469,0.0,top
D1104,123.065,-119.465,0.0,top
D1105,119.56,-113.871735,180.0,top
D1106,119.56,-119.461531,180.0,top
D1107,119.56,-115.735,180.0,top
D1108,119.56,-117.598266,180.0,top
D1301,113.26,-69.3225,180.0,top
D1401,99.41,-74.399999,90.0,top
D1402,84.9625,-73.06,0.0,top
D1501,114.03,-79.98,270.0,top
D1502,103.32,-80.485001,90.0,top
D1701,120.32,-71.4775,90.0,bottom
D401,122.7108,-79.4972,180.0,top
D701,120.5,-134.375,0.0,top
D702,120.4,-131.925,0.0,top
D901,120.875,-129.599998,0.0,top
J1701,119.812399,-69.5374,180.0,top
J1801,119.04,-99.86,0.0,top
J201,92.45,-101.9,0.0,top
Q1301,113.1325,-69.3,180.0,bottom
Q1501,111.14982,-80.208899,0.0,top
Q1502,111.08572,-79.117799,90.0,bottom
Q1701,123.1575,-73.81,270.0,top
Q701,116.525,-133.0625,270.0,top
Q702,116.598185,-132.66011,90.0,bottom
R1101,123.4196,-117.622469,180.0,bottom
R1102,123.4196,-113.89594,180.0,bottom
R1103,123.4196,-115.759203,180.0,bottom
R1104,123.4196,-119.485734,180.0,bottom
R1105,119.2054,-113.850999,0.0,bottom
R1106,119.2054,-119.440797,0.0,bottom
R1107,119.2054,-115.714266,0.0,bottom
R1108,119.2054,-117.577532,0.0,bottom
R1301,113.397299,-71.8941,0.0,bottom
R1401,91.950001,-71.190001,180.0,top
R1402,95.375001,-73.43,90.0,top
R1403,93.684,-76.144898,180.0,top
R1404,100.425,-75.05,0.0,bottom
R1405,96.796099,-72.474898,270.0,bottom
R1406,98.471699,-72.474898,90.0,bottom
R1407,93.975001,-73.43,270.0,top
R1408,95.221098,-72.474898,90.0,bottom
R1501,103.34,-78.99,0.0,bottom
R1502,114.03,-79.98,90.0,bottom
R1503,107.112419,-75.9625,180.0,bottom
R1701,122.1161,-74.601499,90.0,bottom
R1702,123.8861,-74.601499,270.0,bottom
R1703,122.7,-76.38,0.0,top
R1704,118.65,-72.35,90.0,bottom
R1801,115.345001,-95.414999,90.0,bottom
R1802,119.270001,-94.975399,90.0,bottom
R1803,119.270001,-98.348601,90.0,bottom
R1804,119.270001,-101.721799,90.0,bottom
R1805,119.270001,-105.094998,90.0,bottom
R401,116.970401,-85.215832,0.0,bottom
R402,116.9704,-86.43,0.0,bottom
R403,118.06,-77.36,270.0,bottom
R404,118.429999,-83.0175,180.0,bottom
R405,122.692499,-89.430001,90.0,bottom
R406,122.7108,-79.4972,180.0,bottom
R407,117.1736,-89.906168,180.0,bottom
R408,117.1736,-88.692,0.0,bottom
R409,119.635199,-88.516001,90.0,bottom
R501,109.515,-114.079201,0.0,bottom
R701,111.657448,-134.0025,270.0,bottom
R702,120.5,-134.375,0.0,bottom
R703,120.4,-131.925,0.0,bottom
R901,123.908401,-127.204998,0.0,bottom
R902,116.015001,-124.664997,180.0,bottom
R903,116.015001,-123.394997,180.0,bottom
R904,123.9084,-125.934996,0.0,bottom
R905,123.908401,-124.664997,0.0,bottom
R906,116.015,-125.934997,180.0,bottom
SW401,117.260002,-78.812501,90.0,top
SW501,114.95,-119.39,90.0,top
U1101,120.87,-110.22,270.0,top
U1401,92.0,-73.43,90.0,top
U1402,100.7225,-72.46,270.0,bottom
U1501,106.95,-80.155,0.0,top
U1701,119.52,-73.7925,270.0,top
U301,107.23,-74.62,180.0,top
U401,118.53,-87.18,270.0,top
U501,99.45,-119.3292,180.0,top
U701,112.65,-132.5875,90.0,top
U901,120.2,-125.299998,90.0,top
Y401,110.0795,-87.0649,270.0,top
Y501,106.975,-106.054509,0.0,top
Y502,96.636975,-103.913687,180.0,top
